setid,Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KZjuV,0,293.15,101,791.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,298.15,101,786.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,303.15,101,782.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,308.15,101,777.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,313.15,101,772.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,318.15,101,767.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0,323.15,101,763.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,293.15,101,814.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,298.15,101,810.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,303.15,101,805.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,308.15,101,801,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,313.15,101,796.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,318.15,101,791.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0167,323.15,101,787.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,293.15,101,858.83,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,298.15,101,854.56,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,303.15,101,850.29,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,308.15,101,846.02,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,313.15,101,841.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,318.15,101,837.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0545,323.15,101,833.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,293.15,101,896.64,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,298.15,101,892.63,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,303.15,101,888.62,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,308.15,101,884.61,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,313.15,101,880.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,318.15,101,876.59,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.0958,323.15,101,872.58,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,293.15,101,928.35,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,298.15,101,924.55,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,303.15,101,920.74,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,308.15,101,916.94,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,313.15,101,913.13,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,318.15,101,909.33,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.1457,323.15,101,905.52,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,293.15,101,958.41,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,298.15,101,954.79,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,303.15,101,951.17,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,308.15,101,947.55,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,313.15,101,943.93,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,318.15,101,940.31,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.2069,323.15,101,936.69,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,293.15,101,1004.88,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,298.15,101,1001.55,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,303.15,101,998.21,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,308.15,101,994.88,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,313.15,101,991.54,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,318.15,101,988.21,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.3621,323.15,101,984.87,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,293.15,101,1031.29,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,298.15,101,1028.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,303.15,101,1024.92,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,308.15,101,1021.73,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,313.15,101,1018.55,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,318.15,101,1015.36,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.5078,323.15,101,1012.18,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,293.15,101,1044.88,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,298.15,101,1041.77,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,303.15,101,1038.67,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,308.15,101,1035.56,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,313.15,101,1032.46,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,318.15,101,1029.35,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.6237,323.15,101,1026.25,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,293.15,101,1053.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
KZjuV,0.7118,298.15,101,1050.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
