setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ptLuG,298.15,0,100,943.9,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.1087,100,1042,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.203,100,1099.9,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.2978,100,1142.9,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.409,100,1181.7,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.4969,100,1206.1,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.603,100,1230.7,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.699,100,1249.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.809,100,1268.6,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,0.8928,100,1281.6,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,298.15,1,100,1297.5,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
ptLuG,303.15,0,100,939.2,Fatima et al. (2018b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
