setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,Mole fraction of propan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LHRLM,0.035,0.8172,298.15,101,875,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.0539,0.7187,298.15,101,915,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.0745,0.6116,298.15,101,957,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.0979,0.4893,298.15,101,1004,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1037,0.8234,298.15,101,921,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1199,0.3745,298.15,101,1046,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1372,0.2842,298.15,101,1079,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1454,0.5823,298.15,101,1005,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1637,0.146,298.15,101,1126,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1639,0.7208,298.15,101,977,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1836,0.0423,298.15,101,1160,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.1871,0.4625,298.15,101,1049,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.2412,0.5892,298.15,101,1036,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.2495,0.2834,298.15,101,1108,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.2803,0.1947,298.15,101,1134,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.3188,0.0841,298.15,101,1166,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.341,0.4193,298.15,101,1095,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.3456,0.5736,298.15,101,1064,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.3993,0.3203,298.15,101,1124,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.4477,0.2377,298.15,101,1146,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.4964,0.3876,298.15,101,1124,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.5197,0.1153,298.15,101,1175,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.5841,0.2794,298.15,101,1151,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.693,0.1447,298.15,101,1179,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.7289,0.2384,298.15,101,1167,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.8141,0.1492,298.15,101,1183,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
LHRLM,0.8948,0.0648,298.15,101,1197,Deenadayalu et al. (2011),Density,Liquid,AALcLI,CCCO,propan-1-ol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
