setid,Solvent: Weight fraction of acetonitrile,"MolaLity of tetrabutylphosphonium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kaysy,0.25,0.0117,298.15,100,854.76,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.25,0.0176,298.15,100,855.1,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.25,0.0236,298.15,100,855.63,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.25,0.0295,298.15,100,856.28,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.25,0.0354,298.15,100,857.05,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.25,0.0414,298.15,100,857.94,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0121,298.15,100,828.74,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0182,298.15,100,829.01,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0243,298.15,100,829.42,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0304,298.15,100,829.97,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0366,298.15,100,830.58,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.5,0.0427,298.15,100,831.29,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.75,0.0125,298.15,100,802.73,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.75,0.0188,298.15,100,802.93,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.75,0.0251,298.15,100,803.2,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
kaysy,0.75,0.0314,298.15,100,803.57,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AANtst,C1CCOC1,tetrahydrofuran
