setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium dicyanamide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EaYNK,293.15,0.0497,101.3,788.07,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.1012,101.3,790.54,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.1541,101.3,793.01,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.2003,101.3,795.12,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.2521,101.3,797.4,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.5105,101.3,808.27,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,0.7616,101.3,817.89,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,1.0164,101.3,826.92,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,1.2635,101.3,835.03,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
EaYNK,293.15,1.5234,101.3,843.01,Calvar et al. (2012c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
