setid,"Temperature, K",Mole fraction of toluene,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BBdfe,293.15,0,100,1452.78,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.0994,100,1431.63,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.2022,100,1406.42,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.2939,100,1380.51,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.3972,100,1346.15,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.5025,100,1304.1,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.6068,100,1252.39,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,0.7033,100,1191.79,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,293.15,1,100,866.86,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
BBdfe,298.15,0,100,1448.07,Warmiska and Cichowska-Kopczyska (2020),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,
