setid,"Temperature, K",Mole fraction of 1-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XzMay,293.15,0.0506,101,828.66,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.1008,101,847.12,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.1979,101,880.83,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.2995,101,913.82,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.4002,101,943.73,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.4999,101,970.97,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.6505,101,1008.21,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.7977,101,1040.65,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,293.15,0.9013,101,1061.34,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
XzMay,298.15,0.0506,101,824.7,Qian et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
