setid,"Temperature, K","MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","MolaLity of sodium dihydrogen citrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ybUiT,288.15,0,101.3,0.1,1010.51,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0037,101.3,0.1,1010.68,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0057,101.3,0.1,1010.78,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0074,101.3,0.1,1010.86,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0095,101.3,0.1,1010.95,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0152,101.3,0.1,1011.22,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.03,101.3,0.1,1011.9,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0385,101.3,0.1,1012.29,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0563,101.3,0.1,1013.1,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.0771,101.3,0.1,1014.05,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.096,101.3,0.1,1014.9,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.1154,101.3,0.1,1015.76,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.1354,101.3,0.1,1016.65,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.1548,101.3,0.1,1017.5,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,288.15,0.1737,101.3,0.1,1018.33,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,293.15,0,101.3,0.1,1009.46,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
ybUiT,293.15,0.0037,101.3,0.1,1009.63,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AApJqz,O=C(O)CC(O)(CC(=O)O)C(=O)[O-].[Na+],sodium dihydrogen citrate,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide
