setid,"Temperature, K","Pressure, kPa",Mole fraction of acetophenone,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wOWws,298.15,100,0.1001,1418.9,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.2301,1394.6,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.2995,1379.7,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.4002,1354.4,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.5003,1324.4,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.6014,1287.7,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.7002,1243.7,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.8003,1187.8,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,100,0.9,1116.4,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
wOWws,298.15,10000,0.1001,1426.2,Widowati and Lee (2013),Density,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
