setid,Weight fraction of 1-butyl-3-methylimidazolium dicyanamide,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BSDfa,0.65,0.05,303,100,1037.78,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
BSDfa,0.65,0.05,308,100,1034.29,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
BSDfa,0.65,0.05,313,100,1090.8,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
BSDfa,0.65,0.05,318,100,1027.32,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
BSDfa,0.65,0.05,323,100,1023.85,Zhang et al. (2014i),Density,Liquid,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
