setid,"Mole fraction of 2,4-pentanedione","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZabKJ,0.0517,101,298.15,888.3,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.0958,101,298.15,889.4,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.2082,101,298.15,892.5,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.2986,101,298.15,895,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.3991,101,298.15,898,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.499,101,298.15,901.5,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.6013,101,298.15,905.75,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.7004,101,298.15,911.47,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.7998,101,298.15,919.31,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.9,101,298.15,933.94,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ZabKJ,0.95,101,298.15,946.89,Choi et al. (2013),Density,Liquid,AATNpB,CC(=O)CC(C)=O,"2,4-pentanedione",ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
