setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium ethyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qfYUa,298.15,0.0113,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.0347,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.0419,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.0614,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.0677,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.1085,101,1002,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.2177,101,1006,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.3501,101,1010,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.433,101,1012,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.5618,101,1016,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.7474,101,1020,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,0.8741,101,1022,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,1.1703,101,1026,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,298.15,1.3434,101,1028,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,308.15,0.0113,101,995,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,308.15,0.0347,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,308.15,0.0419,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,308.15,0.0614,101,997,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
qfYUa,308.15,0.0677,101,997,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABELpB,CCCCCC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],1-hexyl-3-methylimidazolium ethyl sulfate,,,
