setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IOTLa,0,298.15,101,732.88,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.0492,298.15,101,778.02,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.0994,298.15,101,809.01,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.1997,298.15,101,888.25,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.3002,298.15,101,943.91,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.3525,298.15,101,968.66,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.4013,298.15,101,989.49,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.4492,298.15,101,1008.25,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.5037,298.15,101,1027.64,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.5524,298.15,101,1043.6,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.6009,298.15,101,1058.22,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.7036,298.15,101,1085.8,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.7873,298.15,101,1105.23,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,0.8787,298.15,101,1124.3,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
IOTLa,1,298.15,101,1146.7,Zhu et al. (2011),Density,Liquid,AAODWt,CCCCN,1-butanamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
