setid,Mole fraction of cyclohexane,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ANvjM,0,0.189,298.15,101,1174.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.009,0.13,298.15,101,1184.6,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.012,0.148,298.15,101,1182.2,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.016,0.098,298.15,101,1188.4,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.02,0.069,298.15,101,1197.3,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.022,0.09,298.15,101,1192.2,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.025,0.049,298.15,101,1197,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.031,0.024,298.15,101,1200.3,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.037,0.039,298.15,101,1199.9,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
ANvjM,0.039,0,298.15,101,1201.8,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
