setid,"Solvent: MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GNdZw,0.01,288.15,0,100,999.7,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.0521,100,1001.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.1018,100,1003,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.1509,100,1004.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.1992,100,1006.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.2473,100,1007.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,288.15,0.3011,100,1009.6,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0,100,997.5,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0.0521,100,999.2,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0.1018,100,1000.8,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0.1509,100,1002.4,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
GNdZw,0.01,298.15,0.1992,100,1004,Kaur et al. (2021),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid
