setid,Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xxsvh,0,293.15,101,791,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.05,293.15,101,884,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.08,293.15,101,929,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.0995,293.15,101,957,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.2001,293.15,101,1062,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.3024,293.15,101,1122,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.4012,293.15,101,1161,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.4971,293.15,101,1189,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.6,293.15,101,1212,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.7004,293.15,101,1228,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.8003,293.15,101,1242,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.8971,293.15,101,1253,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,0.9389,293.15,101,1257,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
xxsvh,1,293.15,101,1263,Wang et al. (2011f),Density,Liquid,AAGIBL,CO,methanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
