setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vYTrs,288.15,0,100,1069.57,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.1011,100,1069.68,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.1987,100,1067.91,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.3083,100,1065.51,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.3981,100,1063.07,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.4957,100,1060.04,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.6008,100,1056.72,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.6983,100,1053.58,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.7961,100,1050.56,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,0.8979,100,1047.52,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,288.15,1,100,1044.51,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,293.15,0,100,1065.37,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,293.15,0.1011,100,1065.77,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
vYTrs,293.15,0.1987,100,1064.17,Bai et al. (2016c),Density,Liquid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,AAYhfK,CN1CCCN(C)C1=O,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",,,
