setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ESXmJ,288.15,0.000366,100,999.262,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,288.15,0.000732,100,999.415,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,288.15,0.001097,100,999.558,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,288.15,0.001462,100,999.693,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,288.15,0.001827,100,999.827,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,288.15,0.002192,100,999.945,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.000366,100,997.161,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.000732,100,997.266,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.001098,100,997.365,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.001463,100,997.458,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.001828,100,997.547,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,298.15,0.002193,100,997.632,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.000366,100,994.108,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.000731,100,994.175,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.001097,100,994.237,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.001462,100,994.294,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.001827,100,994.349,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,308.15,0.002192,100,994.4,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.000366,100,990.258,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.000731,100,990.295,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.001097,100,990.326,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.001462,100,990.353,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.001826,100,990.377,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
ESXmJ,318.15,0.002192,100,990.398,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
