setid,"MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OXAgF,0,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.006765,101.3,298.15,1110,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.007869,101.3,298.15,1110.1,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.01325,101.3,298.15,1110.1,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.0167,101.3,298.15,1110.2,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.02074,101.3,298.15,1110.3,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.02364,101.3,298.15,1110.3,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.03075,101.3,298.15,1110.4,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.03492,101.3,298.15,1110.4,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OXAgF,0.03798,101.3,298.15,1110.5,Wang et al. (2009a),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
