setid,"Temperature, K","MolaRity of 1,2-bis(3-butylimidazolium-1-yl)ethane dibromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aUjGQ,298.2,0,101,997,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,0.001,101,995.6,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,0.01,101,998,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,0.1,101,1002,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,0.5,101,1030,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,1,101,1065,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,298.2,1.25,101,1084,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,0,101,993.7,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,0.001,101,992.1,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,0.01,101,997.5,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,0.1,101,997.8,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,0.5,101,1026.5,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,1,101,1061,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,308.2,1.25,101,1080,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,0,101,988,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,0.001,101,988.5,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,0.01,101,990.6,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,0.1,101,993.4,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,0.5,101,1022.3,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,1,101,1056.2,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,318.2,1.25,101,1075,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,328.2,0,101,980.6,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,328.2,0.001,101,985.4,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
aUjGQ,328.2,0.01,101,984,Kharazi et al. (2019),Density,Liquid,ABfuhn,CCCCn1cc[n+](CC[n+]2ccn(CCCC)c2)c1.[Br-].[Br-],"1,2-bis(3-butylimidazolium-1-yl)ethane dibromide",AADYJk,O,water,,,
