setid,Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LSakP,0.2783,308.15,100.7,1083.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.2783,313.15,100.7,1079.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.2783,318.15,100.7,1074.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.2783,323.15,100.7,1069.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,293.15,100.7,1139.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,298.15,100.7,1135.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,303.15,100.7,1130.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,308.15,100.7,1126.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,313.15,100.7,1122.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,318.15,100.7,1117.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.3996,323.15,100.7,1113.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,293.15,100.7,1169.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,298.15,100.7,1165.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,303.15,100.7,1161,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,308.15,100.7,1157,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,313.15,100.7,1152.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,318.15,100.7,1148.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.5198,323.15,100.7,1144.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,293.15,100.7,1187.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,298.15,100.7,1183.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,303.15,100.7,1179.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,308.15,100.7,1175.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,313.15,100.7,1171.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,318.15,100.7,1167.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LSakP,0.612,323.15,100.7,1162.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
