setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
duNJq,298.15,0.0986,101,906.3,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.2015,101,968.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.2837,101,998.1,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.3985,101,1025,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.5105,101,1042.6,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.6035,101,1053.5,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.7011,101,1062.4,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.8152,101,1070.4,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,298.15,0.9139,101,1076,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.0986,101,901.6,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.2015,101,963.9,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
duNJq,303.15,0.2837,101,993.6,Yu et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
