setid,Mole fraction of propan-1-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aDzzU,0,101,298.15,886.4,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.0516,101,298.15,886.2,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.1063,101,298.15,886,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.1942,101,298.15,885.6,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.3035,101,298.15,884.8,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.3995,101,298.15,883.9,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.5025,101,298.15,882.4,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.605,101,298.15,880,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.7012,101,298.15,876.4,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.8005,101,298.15,870,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.8997,101,298.15,855.2,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,0.9501,101,298.15,838.2,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
aDzzU,1,101,298.15,799.7,Lee and Park (2012),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
