setid,"MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Vqhov,0.0102,293.15,100,999.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0102,298.15,100,998.3,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0102,303.15,100,997.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0102,308.15,100,996.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0102,313.15,100,995.4,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0299,293.15,100,1000.9,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0299,298.15,100,1000,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0299,303.15,100,998.5,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0299,308.15,100,997.3,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0299,313.15,100,996.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0498,293.15,100,1001.8,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0498,298.15,100,1000.7,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0498,303.15,100,999.7,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0498,308.15,100,998.5,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0498,313.15,100,997.7,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0701,293.15,100,1002.2,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0701,298.15,100,1001.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0701,303.15,100,1000.7,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0701,308.15,100,999.4,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
Vqhov,0.0701,313.15,100,998.6,Sharma et al. (2019),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
