setid,"Temperature, K",Mole fraction of 3-ethyl-1-methylimidazolium butyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PyrxJ,288.15,0.0526,101,1081,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.0987,101,1114.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.2007,101,1146.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.2973,101,1159.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.3957,101,1167.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.4866,101,1171.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.5868,101,1175,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.6909,101,1177.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.7872,101,1179.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.8922,101,1181.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,0.9416,101,1181.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,288.15,1,101,1182.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.0526,101,1075.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.0987,101,1107.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.2007,101,1139.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.2973,101,1152.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.3957,101,1160.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.4866,101,1164.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.5868,101,1168.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.6909,101,1171.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.7872,101,1172.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.8922,101,1174.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,0.9416,101,1175,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,298.15,1,101,1175.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.0526,101,1069.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.0987,101,1100.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.2007,101,1131.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.2973,101,1145.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.3957,101,1153.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.4866,101,1158,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.5868,101,1161.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.6909,101,1164.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.7872,101,1166.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.8922,101,1167.9,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,0.9416,101,1168.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,308.15,1,101,1169,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.0526,101,1063.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.0987,101,1093.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.2007,101,1124.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.2973,101,1138.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.3957,101,1146.3,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.4866,101,1151.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.5868,101,1154.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.6909,101,1157.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.7872,101,1159.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.8922,101,1161.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,0.9416,101,1161.7,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
PyrxJ,318.15,1,101,1162.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,AAyrXy,CCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methylimidazolium butyl sulfate,,,
