setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KBrLU,273,100,0.2,1454,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,278,100,0.2,1449,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,283,100,0.2,1445,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,288,100,0.2,1440,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,293,100,0.2,1436,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,298,100,0.2,1431,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,303,100,0.2,1427,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,308,100,0.2,1422,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,313,100,0.2,1418,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,318,100,0.2,1414,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
KBrLU,323,100,0.2,1409,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAzobx,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)F.[K+],potassium (fluorosulfonyl)(trifluoromethanesulfonyl)imide,,,
