setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dzmrj,278.15,0.0051,101.3,1123.9,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.01371,101.3,1124,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.02087,101.3,1124,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.03108,101.3,1124.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.04221,101.3,1124.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.05056,101.3,1124.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.05702,101.3,1124.2,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.07604,101.3,1124.2,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,278.15,0.11875,101.3,1124.4,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.0051,101.3,1120.5,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.01371,101.3,1120.5,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.02087,101.3,1120.5,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.03108,101.3,1120.6,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.04221,101.3,1120.6,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.05056,101.3,1120.7,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.05702,101.3,1120.7,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.07604,101.3,1120.7,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,283.15,0.11875,101.3,1120.9,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.0051,101.3,1117,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.01371,101.3,1117,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.02087,101.3,1117,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.03108,101.3,1117.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.04221,101.3,1117.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
dzmrj,288.15,0.05056,101.3,1117.1,Toma et al. (2022),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
