setid,"Temperature, K","Mole fraction of N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CETco,283.15,0.0108,101,846.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.0992,101,1025.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.2597,101,1121.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.4049,101,1154.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.5075,101,1168.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.5953,101,1177,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.7121,101,1185.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.8336,101,1192.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.9202,101,1196.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,283.15,0.9692,101,1198.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.0108,101,842.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.0992,101,1021.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.2597,101,1117.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.4049,101,1150.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.5075,101,1164.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.5953,101,1173,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.7121,101,1181.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
CETco,288.15,0.8336,101,1188.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ACBueh,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,
