setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K",Specific volume<SUP>*</SUP>,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pVNGy,490,0.2,313.15,2,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,970,0.35,313.15,4,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,1480,0.43,313.15,6,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,1910,0.49,313.15,8,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,2480,0.53,313.15,10,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,3050,0.57,313.15,13,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,3560,0.6,313.15,15,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,4270,0.65,313.15,18,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,4760,0.67,313.15,21,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,5180,0.7,313.15,24,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,5800,0.73,313.15,27,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,6730,0.76,313.15,31,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,7630,0.78,313.15,36,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,8360,0.8,313.15,41,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,8910,0.8,313.15,43,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,9560,0.8,313.15,43,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,10290,0.81,313.15,45,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,11950,0.82,313.15,46,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,14000,0.82,313.15,48,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,16200,0.83,313.15,49,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
pVNGy,17930,0.83,313.15,50,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
