setid,"Temperature, K",Mole fraction of triethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NkHdq,298.15,0,101,1095.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.0236,101,1090.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.0351,101,1088.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.0607,101,1084.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.0879,101,1079.8,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.1152,101,1075.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.161,101,1068.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.2116,101,1062.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.2699,101,1055.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.3553,101,1047.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.4353,101,1040.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.4831,101,1037.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.5464,101,1033.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.6163,101,1029.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.6796,101,1026.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.7164,101,1025.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.7846,101,1022.6,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.8163,101,1021.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
NkHdq,298.15,0.8504,101,1020.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
