setid,"Temperature, K",Mole fraction of nonane,Mole fraction of benzene,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bIRjS,283.15,0.002,0.079,1218.46,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
bIRjS,283.15,0.002,0.215,1197.89,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
bIRjS,283.15,0.002,0.433,1154.39,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
bIRjS,298.15,0.003,0.396,1152.5,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
bIRjS,298.15,0.004,0.072,1208.89,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
bIRjS,298.15,0.004,0.21,1187.44,Gonzalez et al. (2010b),Density,Liquid mixture 1,Liquid mixture 2,,6,AAPBFE,c1ccccc1,benzene,AAYikW,CCCCCCCCC,nonane
