setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kiuVj,298.15,0,100,943.895,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.0123,100,945.664,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.0172,100,946.37,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.031,100,948.329,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.0391,100,949.48,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.061,100,952.526,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.0818,100,955.388,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.1014,100,958.036,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.1194,100,960.449,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.1495,100,964.417,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,298.15,0.1976,100,970.603,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
kiuVj,303.15,0,100,939.124,Marcinkowski et al. (2018),Density,Liquid,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
