setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpiperidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zoMyW,298.15,0,100,997.06,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.0936,100,1007.95,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.1748,100,1011.38,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.2651,100,1013.31,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.3581,100,1014.27,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.4952,100,1014.9,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.6246,100,1015.36,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.7878,100,1015.65,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,0.9216,100,1015.91,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
zoMyW,298.15,1,100,1016.13,Krolikowska et al. (2014c),Density,Liquid,AADYJk,O,water,AAqnPn,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N,1-butyl-1-methylpiperidinium dicyanamide,,,
