setid,"Temperature, K",Weight fraction of dodecane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SWSFm,293.15,0.1,101,931.9,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,293.15,0.2,101,907.4,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,293.15,0.3,101,884.5,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,298.15,0,101,955.6,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,298.15,0.1,101,928.6,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,298.15,0.2,101,904.2,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,298.15,0.3,101,881.2,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,303.15,0,101,952.5,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,303.15,0.1,101,925.2,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
SWSFm,303.15,0.2,101,900.9,Awwad et al. (2014),Density,Liquid,ACjXMv,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],tributyl(tetradecyl)phosphonium 2-dodecylbenzenesulfonate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
