setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SDqkb,293.15,0,100,998.3,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.097,100,1079.9,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.198,100,1109.6,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.294,100,1119.4,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.375,100,1122.7,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.495,100,1125.7,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.597,100,1126.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.692,100,1127.8,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.799,100,1128.4,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
SDqkb,293.15,0.899,100,1127.5,Velho et al. (2024),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
