setid,"Temperature, K",Mole fraction of 4-ethyl-4-methylmorpholinium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VYrVn,298.15,0,101,997.06,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.1255,101,1160.26,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.2214,101,1196.87,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.3165,101,1215.39,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.4406,101,1229.15,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.6319,101,1240.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.7239,101,1244.7,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,0.807,101,1247.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,298.15,1,101,1252.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
VYrVn,303.15,0,101,995.65,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAxFCR,CCOS(=O)(=O)[O-].CC[N+]1(C)CCOCC1,4-ethyl-4-methylmorpholinium ethyl sulfate,,,
