setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PvbGg,0.1012,101,298.15,951.01,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
PvbGg,0.1527,101,298.15,954.4,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
PvbGg,0.197,101,298.15,957.2,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
