setid,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TYisS,293.16,1119.5,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,298.14,1116.1,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,303.14,1112.7,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,308.14,1109.4,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,313.14,1106.1,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,318.14,1102.8,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,323.14,1099.4,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,328.14,1096.1,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,333.14,1092.8,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,338.14,1089.5,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,343.14,1086.3,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,348.14,1083,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,353.14,1079.8,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,358.14,1076.5,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
TYisS,363.14,1073.3,Mac Dowell et al. (2014),Density,Liquid,ABELQi,CCCCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-hexyl-3-methylimidazolium dimethyl phosphate,,,,,,
