setid,Mole fraction of lithium bis((trifluoromethyl)sulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IgxCI,0,309,101,1437,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,314,101,1432.3,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,317,101,1429.6,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,323.5,101,1423.5,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,328,101,1419.4,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,334,101,1413.9,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,338.5,101,1409.9,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,344,101,1404.9,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,348,101,1401.3,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
IgxCI,0,354.2,101,1395.8,Wu et al. (2015a),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABiBfQ,C=CCn1cc[n+](CCOC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,,,
