setid,"Solvent: MolaLity of lithium bromide, mol/kg","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RTVZg,0,0,86,298.15,997,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0044,86,298.15,997.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0073,86,298.15,997.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0078,86,298.15,997.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0127,86,298.15,997.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0155,86,298.15,997.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0201,86,298.15,997.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0,0.0223,86,298.15,997.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.0048,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.0063,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.0087,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.0097,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.0119,86,298.15,1008.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
RTVZg,0.192,0.015,86,298.15,1008.2,Shekaari et al. (2020a),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
