setid,"Temperature, K",Mole fraction of propylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wdXot,293.15,0.0978,100,1025.91,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.2001,100,1027.84,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.3035,100,1023.87,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.3933,100,1020.11,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.4965,100,1015.98,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.6122,100,1011.02,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.7008,100,1007.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.7904,100,1003.63,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.8996,100,998.21,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,0.9506,100,995.1,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,293.15,1,100,989.9,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.0978,100,1022.59,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.2001,100,1024.73,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.3035,100,1020.72,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.3933,100,1016.96,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.4965,100,1012.98,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.6122,100,1007.95,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.7008,100,1004.31,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.7904,100,1000.44,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.8996,100,995.11,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,0.9506,100,991.91,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,298.15,1,100,986.9,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.0978,100,1019.67,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.2001,100,1021.6,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.3035,100,1017.56,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.3933,100,1013.8,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.4965,100,1009.98,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.6122,100,1004.88,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.7008,100,1001.16,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.7904,100,997.24,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.8996,100,992.02,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,0.9506,100,988.73,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,303.15,1,100,983.8,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.0978,100,1016.42,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.2001,100,1018.45,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.3035,100,1014.4,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.3933,100,1010.63,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.4965,100,1006.87,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.6122,100,1001.77,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.7008,100,998.08,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.7904,100,994.04,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.8996,100,988.93,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,0.9506,100,985.55,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
wdXot,308.15,1,100,980.7,Chhotaray et al. (2016),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
