setid,"Temperature, K",Weight fraction of 1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fhpjl,298.1,0,101,1573.8,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.05,101,1579.6,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.1,101,1582.5,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.2,101,1587.5,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.3,101,1590,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.4,101,1591.4,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.5,101,1591.2,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.6,101,1590.1,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.7,101,1588.4,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
fhpjl,298.1,0.85,101,1585.7,Kang et al. (2019),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,AAlkfd,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",,,
