setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OnuRx,293.15,0,101.3,998.207,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.02,101.3,998.916,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.0307,101.3,999.295,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.0391,101.3,999.589,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.0493,101.3,999.946,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.0711,101.3,1000.71,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.098,101.3,1001.64,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.1272,101.3,1002.64,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.1624,101.3,1003.83,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.2031,101.3,1005.2,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.2497,101.3,1006.75,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,293.15,0.3157,101.3,1008.93,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0,101.3,997.054,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.02,101.3,997.746,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.0307,101.3,998.115,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.0391,101.3,998.402,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.0493,101.3,998.749,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
OnuRx,298.15,0.0711,101.3,999.492,Warminska and Kloskowski (2023),Density,Liquid,ABLcsm,C(C)(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-].C(CCC)[N+]1(CCOCC1)C,N-butyl-N-methylmorpholinium N-acetyl-L-isoleucinate,AADYJk,O,water,,,
