setid,Mole fraction of butyl ethanoate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oqIfb,0,100,298.15,1329,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.2556,100,298.15,1279.4,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.501,100,298.15,1208.74,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.6984,100,298.15,1124.14,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.7522,100,298.15,1091.88,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.7996,100,298.15,1061.32,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.8487,100,298.15,1021.78,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.8996,100,298.15,984.05,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
oqIfb,0.9493,100,298.15,934.89,Andanson et al. (2017),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABmsed,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-octylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
