setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XbAwe,100,293.15,0,998.2,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.000113675,998.4,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.000200753,998.6,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.000389055,999,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.000587877,999.4,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.000852012,999.9,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00105828,1000.3,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00116879,1000.5,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00137842,1000.9,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00154188,1001.2,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00172058,1001.6,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00205802,1002.2,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
XbAwe,100,293.15,0.00239113,1002.8,Troncoso (2021),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
