setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jjXXQ,0,0.048,298.15,101,791.06,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.1116,298.15,101,799.08,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.1599,298.15,101,805.32,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.1761,298.15,101,807.44,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.2668,298.15,101,820.06,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.301,298.15,101,825.06,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.3994,298.15,101,840.69,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.497,298.15,101,858.26,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.6122,298.15,101,882.42,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.7116,298.15,101,907.85,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.7774,298.15,101,926.61,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.8145,298.15,101,937.62,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.8529,298.15,101,949.42,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.8967,298.15,101,960.95,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0,0.9481,298.15,101,976.77,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0096,0.9515,298.15,101,1017.7,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0185,0.9541,298.15,101,1049.5,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0193,0.9025,298.15,101,1033.6,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0274,0.9499,298.15,101,1076,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.034,0.9508,298.15,101,1095,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0384,0.9046,298.15,101,1087.21,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0385,0.8054,298.15,101,1051.05,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.04,0.9529,298.15,101,1110.2,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0478,0.9522,298.15,101,1129.1,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0482,0,298.15,101,876.74,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
jjXXQ,0.0545,0.9004,298.15,101,1122.4,Arce et al. (2008a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate
