setid,"Temperature, K","MolaRity of tributyl phosphate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OBrjy,293,1.1,101.3,1297,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,298,1.1,101.3,1292,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,303,1.1,101.3,1288,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,308,1.1,101.3,1284,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,313,1.1,101.3,1278,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,318,1.1,101.3,1273,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,323,1.1,101.3,1269,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,328,1.1,101.3,1263,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,333,1.1,101.3,1260,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,338,1.1,101.3,1255,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
OBrjy,343,1.1,101.3,1250,Rout et al. (2018),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAzLZM,CCCCOP(=O)(OCCCC)OCCCC,tributyl phosphate,,,
