setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Solvent: MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mSdYN,0.1012,0,101,298.15,951.01,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.0099,101,298.15,951.69,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.0296,101,298.15,953.03,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.0502,101,298.15,954.43,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.0698,101,298.15,955.76,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.0908,101,298.15,957.17,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.1106,101,298.15,958.49,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.13,101,298.15,959.78,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.1509,101,298.15,961.17,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1012,0.1697,101,298.15,962.4,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1527,0,101,298.15,954.4,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1527,0.0097,101,298.15,955.06,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1527,0.0292,101,298.15,956.39,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
mSdYN,0.1527,0.0495,101,298.15,957.76,Shekaari et al. (2012c),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
