setid,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
THRxx,0,101,283.15,1461.72,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.1,101,283.15,1440.29,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.1979,101,283.15,1416.97,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.2996,101,283.15,1388.84,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.4084,101,283.15,1352.29,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.5118,101,283.15,1310.48,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.6041,101,283.15,1264.52,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.6579,101,283.15,1233.42,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.6846,101,283.15,1216.16,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.7178,101,283.15,1193.05,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,0.7293,101,283.15,1184.08,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
THRxx,1,101,283.15,876.1,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
