setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FMjHY,298.15,2,101,1023.7,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,298.15,2.25,101,1024.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,298.15,2.5,101,1029.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,303.15,2,101,1020.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,303.15,2.25,101,1022.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,303.15,2.5,101,1027.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,308.15,2,101,1019.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,308.15,2.25,101,1022.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,308.15,2.5,101,1024.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,313.15,2,101,1016.8,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,313.15,2.25,101,1019.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,313.15,2.5,101,1021.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,318.15,2,101,1014,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,318.15,2.25,101,1016.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,318.15,2.5,101,1018.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,323.15,2,101,1011.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,323.15,2.25,101,1013.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,323.15,2.5,101,1015.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,328.15,2,101,1008.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,328.15,2.25,101,1010.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,328.15,2.5,101,1012.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,333.15,2,101,1005,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,333.15,2.25,101,1007.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
FMjHY,333.15,2.5,101,1009.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AADYJk,O,water,,,
