setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LkHmV,298.15,0,100,1126.9,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.0572,100,1129.3,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.1058,100,1129.6,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.1534,100,1129,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.2087,100,1127.8,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.3068,100,1124.9,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.408,100,1121,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.5063,100,1116.9,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.5513,100,1115,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.6031,100,1112.7,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.7053,100,1108.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.8045,100,1104.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.8441,100,1103.1,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,0.902,100,1100.9,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,298.15,1,100,1097.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0,100,1122.3,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.0572,100,1125,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.1058,100,1125.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.1534,100,1125,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.2087,100,1124,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.3068,100,1121.2,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.408,100,1117.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.5063,100,1113.4,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
LkHmV,303.15,0.5513,100,1111.5,Nduli and Deenadayalu (2017),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAStGU,OCc1ccco1,2-hydroxymethylfuran,,,
