setid,"Temperature, K","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of N-acetyl-L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zJqFL,288.15,0,0,100,999.1,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.00557,100,999.4,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.00788,100,999.5,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.01037,100,999.6,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.01807,100,1000,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.02617,100,1000.3,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.03365,100,1000.7,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0,0.04084,100,1001,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0,100,999.3,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.00527,100,999.6,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.00801,100,999.7,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.01053,100,999.8,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.01812,100,1000.2,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.02534,100,1000.5,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.03372,100,1000.9,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.005,0.0417,100,1001.3,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
zJqFL,288.15,0.01,0,100,999.5,Kumar et al. (2017c),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
