setid,"Temperature, K","MolaLity of 3-butyl-1-methyl-1H-imidazolium L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
puOAd,293.15,0,100,998.206,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.03078,100,999.145,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.04697,100,999.63,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.06646,100,1000.21,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.08363,100,1000.72,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.0978,100,1001.14,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.13925,100,1002.34,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.16743,100,1003.15,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.20105,100,1004.09,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.2513,100,1005.48,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.29464,100,1006.67,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.33122,100,1007.64,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.38295,100,1009.05,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,293.15,0.43373,100,1010.33,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,298.15,0,100,997.047,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,298.15,0.03078,100,997.956,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
puOAd,298.15,0.04697,100,998.423,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
