setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Dkefx,0,298.15,101,882.13,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.0498,298.15,101,922.89,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.1008,298.15,101,956.61,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.203,298.15,101,1007.44,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.2976,298.15,101,1041.06,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.3461,298.15,101,1054.83,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.3965,298.15,101,1067.37,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.4457,298.15,101,1078.09,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.5003,298.15,101,1088.63,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.5548,298.15,101,1097.81,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.6083,298.15,101,1106.02,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.7025,298.15,101,1118.37,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.7992,298.15,101,1129,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,0.8925,298.15,101,1137.77,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Dkefx,1,298.15,101,1146.7,Zhu et al. (2011),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
