setid,Mole fraction of tetrapropylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uugAZ,0.05,293.2,100,996.5,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,298.2,100,994.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,303.2,100,991.9,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,308.2,100,989.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,313.2,100,986.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,318.2,100,984.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,323.2,100,981.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,328.2,100,978.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,333.2,100,975.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,338.2,100,972.2,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,343.2,100,968.9,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.05,348.2,100,965.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,293.2,100,998.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,298.2,100,995.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,303.2,100,991.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,308.2,100,988.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,313.2,100,984.5,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,318.2,100,980.9,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,323.2,100,977.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,328.2,100,973.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,333.2,100,970,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,338.2,100,966.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,343.2,100,962.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.1,348.2,100,959.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,293.2,100,993.2,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,298.2,100,989.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,303.2,100,986.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,308.2,100,983,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,313.2,100,979.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,318.2,100,976.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,323.2,100,972.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,328.2,100,969.2,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,333.2,100,965.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,338.2,100,962.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,343.2,100,958.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.151,348.2,100,955.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,293.2,100,988.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,298.2,100,985.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,303.2,100,982.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,308.2,100,978.9,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,313.2,100,975.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,318.2,100,972.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,323.2,100,969,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,328.2,100,965.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,333.2,100,962.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,338.2,100,959.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,343.2,100,955.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.2,348.2,100,952.5,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,293.2,100,985,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,298.2,100,981.9,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,303.2,100,978.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,308.2,100,975.7,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,313.2,100,972.5,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,318.2,100,969.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,323.2,100,966.3,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,328.2,100,963.1,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,333.2,100,960,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,338.2,100,956.8,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,343.2,100,953.6,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
uugAZ,0.25,348.2,100,950.4,Vilas-Boas et al. (2020),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
