setid,"Temperature, K","MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OJRSt,288.15,0,0.1059,100,1001.8,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0,0.2999,100,1006.7,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.037,0.2999,100,1007.5,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.0441,0.1059,100,1002.9,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.0691,0.2999,100,1008.1,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.0907,0.1059,100,1004.1,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.121,0.1059,100,1004.9,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.1538,0.2999,100,1009.8,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.1756,0.1059,100,1006.4,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
OJRSt,288.15,0.2414,0.1059,100,1008.1,Pal et al. (2015b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
