setid,"Temperature, K","MolaLity of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride, mol/kg","Solvent: MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QjWEn,288.15,0,0.05,101,1001.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0108,0.05,101,1002.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.033,0.05,101,1002.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0403,0.05,101,1003.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0564,0.05,101,1003.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0602,0.05,101,1003.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0716,0.05,101,1004,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0813,0.05,101,1004.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.0956,0.05,101,1004.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.1014,0.05,101,1004.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.1122,0.05,101,1005.2,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.124,0.05,101,1005.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,288.15,0.1379,0.05,101,1005.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0,0.05,101,999.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0108,0.05,101,1000,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.033,0.05,101,1000.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0403,0.05,101,1000.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0564,0.05,101,1001.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0602,0.05,101,1001.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0716,0.05,101,1001.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0813,0.05,101,1002,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
QjWEn,293.15,0.0956,0.05,101,1002.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
