setid,"Temperature, K","MolaLity of trihexylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YTMJV,293.15,0.06765,100,750.931,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.13288,100,752.995,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.19706,100,754.959,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.26331,100,756.915,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.32926,100,758.776,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.38698,100,760.371,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.45321,100,762.091,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,293.15,0.52662,100,763.971,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.06765,100,747.286,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.13288,100,749.348,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.19706,100,751.309,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.26331,100,753.261,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.32926,100,755.123,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.38698,100,756.7,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.45321,100,758.438,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,298.15,0.52662,100,760.318,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
YTMJV,303.15,0.06765,100,743.637,Keshapolla et al. (2018),Density,Liquid,ABWIxJ,CCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium hexanoate,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
