setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YDZaW,293.15,0,101,998.203,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.0355,101,999.969,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.0493,101,1000.64,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.065,101,1001.39,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.0795,101,1002.08,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.0971,101,1002.9,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.1182,101,1003.88,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,293.15,0.1493,101,1005.28,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0,101,997.043,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.0355,101,998.801,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.0493,101,999.468,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.065,101,1000.22,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.0795,101,1000.9,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.0971,101,1001.72,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.1182,101,1002.69,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,298.15,0.1493,101,1004.08,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0,101,995.645,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.0355,101,997.397,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.0493,101,998.061,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.065,101,998.809,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.0795,101,999.491,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.0971,101,1000.3,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.1182,101,1001.27,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,303.15,0.1493,101,1002.64,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0,101,994.029,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.0355,101,995.776,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
YDZaW,308.15,0.0493,101,996.438,Jain et al. (2021),Density,Liquid,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
