setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KNMZk,0.04,293.15,101.3,999.766,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.04,298.15,101.3,998.591,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.04,303.15,101.3,997.179,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.04,308.15,101.3,995.551,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.04,313.15,101.3,993.727,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,293.15,101.3,1002.34,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,298.15,101.3,1001.13,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,298.15,101.3,1001.13,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,303.15,101.3,999.693,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,308.15,101.3,998.035,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
KNMZk,0.08,313.15,101.3,996.184,Kumar et al. (2022),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water,,,
