setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oiOlc,298.15,0,100,960.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.1002,100,1028,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.1999,100,1082.3,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.3002,100,1126.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.4,100,1163.4,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.5,100,1194.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.5999,100,1220.1,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.7002,100,1242.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.8,100,1261.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
oiOlc,298.15,0.8975,100,1277.3,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
