setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BRFjA,278.15,0,101,815.5,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.048,101,920,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.0991,101,1003.2,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.1928,101,1110,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.2895,101,1184.1,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.3911,101,1239.4,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.4877,101,1278.8,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.6028,101,1314.6,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.6999,101,1338.5,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.8016,101,1359.2,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,278.15,0.8999,101,1375.9,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0,101,799.5,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.048,101,903.1,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.0991,101,985.6,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.1928,101,1091.7,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.2895,101,1165.5,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.3911,101,1220.7,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.4877,101,1260,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.6028,101,1295.8,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.6999,101,1319.8,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.8016,101,1340.5,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,298.15,0.8999,101,1357.2,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
BRFjA,318.15,0,101,783.2,Salinas et al. (2016),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
