setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kkFyF,100,283.15,0,792.8,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.0999,940.9,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.1999,1020.7,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.2998,1070.2,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.3997,1098.7,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.4999,1117.5,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.6002,1130.8,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.7001,1141.3,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.7998,1150,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,0.8997,1157.6,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,283.15,1,1164,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,288.15,0,787.5,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,288.15,0.0999,937.1,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,288.15,0.1999,1017.1,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
kkFyF,100,288.15,0.2998,1066.9,Yang and Fang (2018),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
