setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hUsEZ,298.15,0,101,776.623,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0104,101,777.514,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0154,101,777.933,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0207,101,778.381,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0252,101,778.756,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0304,101,779.187,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0408,101,780.053,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0611,101,781.723,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.0825,101,783.46,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
hUsEZ,298.15,0.1032,101,785.114,Marcinkowski et al. (2019b),Density,Liquid,AAvGve,CCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-butyl-N-methylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
